IDENT,PROBLEM,ACTION,DESAB
102835,#2 CYL ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED #2 CYL ROCKER COVER GASKET.,#2 CYLINDER ROCKER COVER GASKET LEAKING.
102836,UPPER RIGHT BAFFLE SEAL NEEDS TO BE SECURED.,SECURED UPPER RIGHT BAFFLE SEAL.,UPPER RIGHT BAFFLE SEAL NEEDS TO BE SECURED.
102837,#2 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED CYL #2 ROCKER COVER GASKET.,#2 ROCKER COVER GASKET LEAKING.
102838,#2 INTAKE HAS LEAK.,REMOVED & REPLACED INTAKE GASKET.,#2 INTAKE HAS LEAK.
102839,#2 & 4 INTAKES LEAKING.,REMOVED & REPLACED INTAKE GASKETS.,#2 & 4 INTAKES LEAKING.
102840,BOTH OIL COOLERS NEED TO BE CLEANED.,CLEANED BOTH OIL COOLERS.,BOTH OIL COOLERS NEED TO BE CLEANED.
102841,#2 INTAKE GASKET LEAKING.,REMOVED & REPLACED INTAKE GASKET.,#2 INTAKE GASKET LEAKING.
102842,"BAFFLE, #1 CYL, REQUIRES PATCH.",INSTALLED PATCH ON #1 CYL BAFFLE.,"BAFFLE, #1 CYLINDER, REQUIRES PATCH."
102843,"MISSING BAFFLE PLUG, R/H SIDE, L/H SIDE NEED REPLACEMENT.",REPLACED BAFFLE PLUGS.,"MISSING BAFFLE PLUG, RIGHT SIDE, LEFT SIDE NEED REPLACEMENT."
102844,#2 ROCKER COVER GASKET NEEDS REPLACEMENT.,REMOVED & REPLACED ROCKER COVER GASKET.,#2 ROCKER COVER GASKET NEEDS REPLACEMENT.
102845,"FRONT BAFFLE SEAL NEEDS TO BE SECURED, TOP LEFT & RIGHT SIDE",SECURED FRONT BAFFLE SEALS.,"FRONT BAFFLE SEAL NEEDS TO BE SECURED, TOP LEFT & RIGHT SIDE"
102846,L/H & R/H BAFFLE PLUG HOLES REQUIRE PATCHES.,"AFTER FURTHER INSPECTION, FOUND PLUG HOLES TO BE OK.",LEFT & RIGHT BAFFLE PLUG HOLES REQUIRE PATCHES.
102847,#1 & 2 INTAKES LEAKING.,"REMOVED & REPLACED CYL #1, 2 INTAKE GASKETS.",#1 & 2 INTAKES LEAKING.
102848,#3 ROCKER COVER LEAKING.,REMOVED & REPLACED CYL #3 ROCKER COVER GASKET.,#3 ROCKER COVER LEAKING.
102849,#2 INTAKE LEAKING.,REMOVED & REPLACED INTAKE GASKET.,#2 INTAKE LEAKING.
102850,#2 & 4 ROCKER COVERS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS.,#2 & 4 ROCKER COVERS LEAKING.
102851,#2 INTAKE GASKET LEAKING.,REMOVED & REPLACED #2 INTAKE GASKET.,#2 INTAKE GASKET LEAKING.
102852,FOUND RIGHT BAFFLE SEAL NEEDS TO BE SECURED.,SECURED BAFFLE SEAL.,FOUND RIGHT BAFFLE SEAL NEEDS TO BE SECURED.
102853,OIL COOLER NEEDS TO BE BLOWN OUT.,BLEW OUT OIL COOLER.,OIL COOLER NEEDS TO BE BLOWN OUT.
102854,#2 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.,#2 ROCKER COVER GASKET LEAKING.
102855,ALL ROCKER COVERS ARE LEAKING.,REPLACED GASKETS ON ALL 4 ROCKER COVERS.,ALL ROCKER COVERS ARE LEAKING.
102856,ENGINE OIL COOLER CAN BE CLEANED EXTERNALLY.,CLEANED ENGINE OIL COOLER.,ENGINE OIL COOLER CAN BE CLEANED EXTERNALLY.
102857,M/R TRANSMISSION OIL COOLER CAN BE CLEANED OUT EXTERNALLY.,CLEANED M/R TRANSMISSION OIL COOLER.,M/R TRANSMISSION OIL COOLER CAN BE CLEANED OUT EXTERNALLY.
102858,#3 CYL INTAKE GASKET LEAKING.,REMOVED & REPLACED #3 CYL INTAKE GASKET.,#3 CYLINDER INTAKE GASKET LEAKING.
102859,"#2, 3 & 4 CYL ROCKER COVER GASKETS LEAKING.",REMOVED & REPLACED GASKETS.,"#2, 3 & 4 CYLINDER ROCKER COVER GASKETS LEAKING."
102860,#3 AFT CYL BAFFLE CRACKED BY OIL COOLER MOUNT.,"STOP DRILLED CRACK ON AFT CYL #3 BAFFLE, NEAR OIL COOLE",#3 AFT CYLINDER BAFFLE CRACKED BY OIL COOLER MOUNT.
102861,STRIPPED NUT ON C FLANGE BOLT.,REPLACED HARDWARE.,STRIPPED NUT ON C FLANGE BOLT.
102861,STRIPPED NUT ON C FLANGE BOLT.,FILED OFF NUT & REMOVED.,STRIPPED NUT ON C FLANGE BOLT.
102863,"#1, 2, 3 & 4 INTAKES ARE LEAKING, R/H ENG.",REMOVED & REPLACED INTAKE GASKETS.,"#1, 2, 3 & 4 INTAKES ARE LEAKING, RIGHT ENGINE."
102864,"R/H ENGINE ROCKER COVER GASKETS LEAKING, CYL #1 & 3.",REMOVED & REPLACED ROCKER COVER GASKETS.,"RIGHT ENGINE ROCKER COVER GASKETS LEAKING, CYLINDER #1 & 3."
102865,"INTAKES #2, 3, 4 LEAKING ON L/H ENGINE.","REMOVED & REPLACED #2, 3, 4 INTAKE GASKETS ON L/H ENG.","INTAKES #2, 3, 4 LEAKING ON LEFT ENGINE."
102866,"ROCKER COVERS 1, 2, 3 & 4 LEAKING ON L/H ENGINE.","REMOVED & REPLACED #1, 2, 3 & 4 ROCKER COVER GASKETS ON","ROCKER COVERS 1, 2, 3 & 4 LEAKING ON LEFT ENGINE."
102867,L/H CRANKSHAFT SEAL SEEPING.,LEAK CK GOOD.,LEFT CRANKSHAFT SEAL SEEPING.
102868,R/H ENG CYL #3 & 4 INTAKE GASKETS LEAKING.,REPLACED GASKETS.,RIGHT ENGINE CYLINDER #3 & 4 INTAKE GASKETS LEAKING.
102869,L/H ENG CYL #3 INTAKE GASKET LEAKING.,REMOVED & REPLACED GASKET.,LEFT ENGINE CYLINDER #3 INTAKE GASKET LEAKING.
102870,R/H OIL FILLER TUBE LOOSE.,TIGHTENED & RESAFETIED OIL FILLER TUBE.,RIGHT OIL FILLER TUBE LOOSE.
102871,R/H ENG CYL #3 & 4 ROCKER COVER GASKETS LEAKING.,REPLACED GASKETS.,RIGHT ENGINE CYLINDER #3 & 4 ROCKER COVER GASKETS LEAKING.
102872,L/H CRANKSHAFT SEAL SEEPING.,REMOVED & REPLACED CRANKSHAFT OIL SEAL.,LEFT CRANKSHAFT SEAL SEEPING.
102873,"#2 INTAKE GASKET LEAKING, L/H ENG.",REMOVED & REPLACED INTAKE GASKET.,"#2 INTAKE GASKET LEAKING, LEFT ENGINE."
102874,#2 INTAKE GASKET LEAKING (R/H ENG).,REMOVED & REPLACED INTAKE GASKET.,#2 INTAKE GASKET LEAKING (RIGHT ENGINE).
102875,R/H ENG #2 CYL ROCKER COVER GASKET IS LEAKING.,REMOVED & REPLACED #2 ROCKER COVER GASKET.,RIGHT ENGINE #2 CYLINDER ROCKER COVER GASKET IS LEAKING.
102876,"#2 & 3 ROCKER COVER GASKETS LEAKING, L/H ENG.",REMOVED & REPLACED #2 & 3 ROCKER COVER GASKETS.,"#2 & 3 ROCKER COVER GASKETS LEAKING, LEFT ENGINE."
102877,"ROCKER COVER GASKETS 1, 2, 3 & 4 CYLS ARE LEAKING.",REMOVED & REPLACED ROCKER COVER GASKETS.,"ROCKER COVER GASKETS 1, 2, 3 & 4 CYLS ARE LEAKING."
102878,#2 SIDE BAFFLE SEAL LOOSE ON BAFFLE.,RESECURED BAFFLE SEAL.,#2 SIDE BAFFLE SEAL LOOSE ON BAFFLE.
102879,#3 INTAKE GASKET LEAKING.,REPLACED GASKET.,#3 INTAKE GASKET LEAKING.
102880,#4 INTAKE GASKET IS LEAKING.,REPLACED GASKET.,#4 INTAKE GASKET IS LEAKING.
102881,FWD R/H SIDE BAFFLE & L/H AFT BAFFLE ARE CRACKED.,INSTALLED PATCHES ON R/H BAFFLE & L/H AFT BAFFLE IAW AC,FORWARD RIGHT SIDE BAFFLE & LEFT AFT BAFFLE ARE CRACKED.
102882,#1 CYL BAFFLING CRACKED BY VALVE COVER.,REPAIRED W/ RIVETED PATCH.,#1 CYLINDER BAFFLING CRACKED BY VALVE COVER.
102883,"#2, 3, 4 ROCKER COVER GASKETS LEAKING.",REMOVED & REPLACED ROCKER COVER GASKETS.,"#2, 3, 4 ROCKER COVER GASKETS LEAKING."
102884,"BAFFLE SUPPORT SCREW, BY OIL TUBE, LOOSE.","REMOVED OIL FILLER TUBE, TIGHTENED SCREW & REINSTALLED","BAFFLE SUPPORT SCREW, BY OIL TUBE, LOOSE."
102885,INTAKES 2 & 4 LEAKING ON R/H ENGINE.,REMOVED & REPLACED INTAKE GASKETS.,INTAKES 2 & 4 LEAKING ON RIGHT ENGINE.
102886,L/H CARB HEAT VALVE MISSING FELT.,REMOVED & REPLACED L/H CARB HEAT VALVE.,LEFT CARBURETOR HEAT VALVE MISSING FELT.
102887,"INTAKES 1, 2, 3 & 4 LEAKING ON L/H ENGINE.",REMOVED & REPLACED INTAKE GASKETS.,"INTAKES 1, 2, 3 & 4 LEAKING ON LEFT ENGINE."
102888,ROCKER COVERS 2 & 3 LEAKING ON L/H ENGINE.,REMOVED & REPLACED ROCKER COVER GASKETS.,ROCKER COVERS 2 & 3 LEAKING ON LEFT ENGINE.
102889,"ROCKER COVERS 1, 2, 3 & 4 LEAKING ON R/H ENGINE.",REMOVED ALL R/H ROCKER COVER GASKETS & REPLACED.,"ROCKER COVERS 1, 2, 3 & 4 LEAKING ON RIGHT ENGINE."
102890,#4 ROCKER COVER GASKET LEAKING.,REPLACED GASKET.,#4 ROCKER COVER GASKET LEAKING.
102891,CRACK IN BAFFLING OF #1 CYL BY VALVE COVER.,STOP DRILLED CRACK ON #1 CYL BAFFLE.,CRACK IN BAFFLING OF #1 CYLINDER BY VALVE COVER.
102892,BAFFLE ABOVE #1 CYL REQUIRES PATCH.,INSTALLED BAFFLE PATCH.,BAFFLE ABOVE #1 CYLINDER REQUIRES PATCH.
102893,#2 & 4 ROCKER COVER GASKETS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS.,#2 & 4 ROCKER COVER GASKETS LEAKING.
102894,#3 INTAKE GASKET ON L/H ENGINE LEAKING.,REMOVED & REPLACED GASKET.,#3 INTAKE GASKET ON LEFT ENGINE LEAKING.
102895,"ROCKER COVER GASKET LEAKING, #3 R/H ENGINE.",REMOVED & REPLACED #3 CYL ROCKER COVER GASKET ON R/H EN,"ROCKER COVER GASKET LEAKING, #3 RIGHT ENGINE."
102896,#2 & 3 ROCKER COVER GASKETS LEAKING ON L/H ENGINE.,REMOVED & REPLACED ROCKER COVER GASKETS ON #2 & 3 CYLS,#2 & 3 ROCKER COVER GASKETS LEAKING ON LEFT ENGINE.
102897,R/H SIDE LOWER FWD OIL COOLER HOSE BRACKET BROKEN.,REMOVED & REPLACED BRACKET.,RIGHT SIDE LOWER FORWARD OIL COOLER HOSE BRACKET BROKEN.
102898,"L/H ENG BACK BAFFLE, BY #4 CYL, CRACKED.",STOP DRILLED CRACK.,"LEFT ENGINE BACK BAFFLE, BY #4 CYLINDER, CRACKED."
102899,R/H ENG #1 & 2 ROCKER COVERS ARE LEAKING.,REMOVED & REPLACED R/H ENG ROCKER COVER GASKETS.,RIGHT ENGINE #1 & 2 ROCKER COVERS ARE LEAKING.
102900,"#2, 3 & 4 ROCKER COVERS ARE LEAKING ON L/H ENGINE.","REMOVED & REPLACED ROCKER COVER GASKETS, L/H ENGINE.","#2, 3 & 4 ROCKER COVERS ARE LEAKING ON LEFT ENGINE."
102901,"#2 INTAKE GASKET LEAKING, L/H ENGINE.",REMOVED & REPLACED INTAKE GASKET.,"#2 INTAKE GASKET LEAKING, LEFT ENGINE."
102902,"#2 & 3 INTAKE GASKETS LEAKING, R/H ENGINE.",REMOVED & REPLACED INTAKE GASKETS.,"#2 & 3 INTAKE GASKETS LEAKING, RIGHT ENGINE."
102903,"MISSING SCREW ON #3 ROCKER COVER, R/H ENGINE.",INSTALLED NEW SCREW ON ROCKER COVER.,"MISSING SCREW ON #3 ROCKER COVER, RIGHT ENGINE."
102904,"#2, 3, 4 ROCKER COVER GASKETS LEAKING, R/H ENGINE.",REMOVED & REPLACED ROCKER COVER GASKETS.,"#2, 3, 4 ROCKER COVER GASKETS LEAKING, RIGHT ENGINE."
102905,"#2, 3, 4 ROCKER COVER GASKETS LEAKING, L/H ENGINE.","REMOVED & REPLACED ROCKER COVER GASKETS, L/H SIDE.","#2, 3, 4 ROCKER COVER GASKETS LEAKING, LEFT ENGINE."
102906,L/H ENG IS MISSING BAFFLE BOLT FROM #3 CYL.,INSTALLED NEW HARDWARE.,LEFT ENGINE IS MISSING BAFFLE BOLT FROM #3 CYLINDER.
102907,"ROCKER DRAIN LINES, ALL OF (B NUTS) ARE LOOSE.",TIGHTENED ALL B NUTS.,"ROCKER DRAIN LINES, ALL OF (B NUTS) ARE LOOSE."
102908,INTAKE 2 & 3 LEAKING.,REMOVED & REPLACED INTAKE GASKETS.,INTAKE 2 & 3 LEAKING.
102909,BAFFLE TIE ROD BROKEN.,REPLACED TIE ROD.,BAFFLE TIE ROD BROKEN.
102910,ROCKER COVER SCREWS LOOSE ON L/H ENGINE.,TIGHTENED SCREWS.,ROCKER COVER SCREWS LOOSE ON LEFT ENGINE.
102911,L/H ENG #2 CYL HAS LOW COMPRESSION.,STAKED EXHAUST VALVE W/ NO AFFECT.,LEFT ENGINE #2 CYLINDER HAS LOW COMPRESSION.
102912,R/H ENGNIE CYL #3 & 2 INTAKE GASKETS LEAKING.,REMOVED & REPLACED GASKETS.,RIGHT ENGNIE CYLINDER #3 & 2 INTAKE GASKETS LEAKING.
102913,R/H ENG CYL #3 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.,RIGHT ENGINE CYLINDER #3 ROCKER COVER GASKET LEAKING.
102914,L/H ENG #2 CYL HAS LOW COMPRESSION.,"RAN A/C, COMPRESSION CK AT 14/80 PSI (CONTINUED ON PD #",LEFT ENGINE #2 CYLINDER HAS LOW COMPRESSION.
102915,LH/ ENG #2 CYL HAS LOW COMPRESSION ,FINISHED INSTALLATION & OPS CK GOOD.,LH/ ENGINE #2 CYLINDER HAS LOW COMPRESSION 
102916,L/H ENG #2 EXHAUST ROCKER WAS NICKED DURING VALVE STAKING.,"REMOVED & REPLACED ROCKER ARM, SHAFT & GASKET.",LEFT ENGINE #2 EXHAUST ROCKER WAS NICKED DURING VALVE STAKING.
102917,LH/ ENG #2 CYL HAS LOW COMPRESSION,"REPLACED EXHAUST VALVE, FITTED VALVE TO CYL. INSTALLED",LH/ ENGINE #2 CYLINDER HAS LOW COMPRESSION
102917,LH/ ENG #2 CYL HAS LOW COMPRESSION,REMOVED #2 CYL ON L/H ENG. REMOVED EXHAUST & INTAKE TUB,LH/ ENGINE #2 CYLINDER HAS LOW COMPRESSION
102919,BOTH OIL COOLERS NEED TO BE CLEANED.,CLEANED BOTH OIL COOLERS.,BOTH OIL COOLERS NEED TO BE CLEANED.
102920,#1 CYL COMPRESSION LOW.,STAKED EXHAUST VALVE. COMPRESSION CHECKS 70/80. REPLACE,#1 CYLINDER COMPRESSION LOW.
102921,CYL #1 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.,CYLINDER #1 ROCKER COVER GASKET LEAKING.
102922,AFT L/H BAFFLE IS CRACKED.,FABRICATED PATCH FROM LIKE MATERIAL & RIVETED IAW,AFT LEFT BAFFLE IS CRACKED.
102923,#4 CYL AFT BAFFLE IS CRACKED.,STOP DRILLED CRACK.,#4 CYLINDER AFT BAFFLE IS CRACKED.
102924,SMALL CRACK ON OIL COOLER (O/B FWD).,STOP DRILLED.,SMALL CRACK ON OIL COOLER (O/B FORWARD).
102925,OIL TUBE DRAIN LINES FOR CYLINDERS LOOSE.,TIGHTENED B NUTS.,OIL TUBE DRAIN LINES FOR CYLINDERS LOOSE.
102926,#2 ROCKER ARM COVER LEAKING.,REPLACED GASKET.,#2 ROCKER ARM COVER LEAKING.
102927,"BAFFLE SEAL, FWD OF #2 CYL, IS LOOSE.",SECURED BAFFLE SEAL.,"BAFFLE SEAL, FORWARD OF #2 CYLINDER, IS LOOSE."
102928,#3 & 4 INTAKES LEAKING.,REMOVED & REPLACED #3 & 4 INTAKE GASKETS.,#3 & 4 INTAKES LEAKING.
102929,"#2 ROCKER COVER LEAKS, R/H ENG.",REPLACED GASKET.,"#2 ROCKER COVER LEAKS, RIGHT ENGINE."
102930,#3 CYL ZERO COMPRESSION ON L/H ENG.,"RAN A/C, LEAK CK'ED GOOD.",#3 CYLINDER ZERO COMPRESSION ON LEFT ENGINE.
102930,#3 CYL ZERO COMPRESSION ON L/H ENG.,TRIED STAKING EXHAUST VALVE. TEST STILL FAILED. SEEMS T,#3 CYLINDER ZERO COMPRESSION ON LEFT ENGINE.
102930,#3 CYL ZERO COMPRESSION ON L/H ENG.,INSTALLED VALVE TRAIN. DRY TAPPET CLEARANCE CK'ED OK. I,#3 CYLINDER ZERO COMPRESSION ON LEFT ENGINE.
102930,#3 CYL ZERO COMPRESSION ON L/H ENG.,REMOVED CYL. REPLACED & GROUND EXHAUST VALVE. GROUND IN,#3 CYLINDER ZERO COMPRESSION ON LEFT ENGINE.
102934,#1 ROCKER COVER LEAKING ON R/H ENGINE.,REPLACED GASKET.,#1 ROCKER COVER LEAKING ON RIGHT ENGINE.
102935,#2 INTAKE GASKET LEAKING ON R/H ENGINE.,REPLACED GASKET.,#2 INTAKE GASKET LEAKING ON RIGHT ENGINE.
102936,"#3 CYL BAFFLING ON L/H ENGINE, CRACKED ON AFT SIDE.",STOP DRILLED CRACK.,"#3 CYLINDER BAFFLING ON LEFT ENGINE, CRACKED ON AFT SIDE."
102937,"#2, 3 & 4 ROCKER COVER GASKETS LEAKING ON R/H ENGINE.",REPLACED ROCKER GASKETS.,"#2, 3 & 4 ROCKER COVER GASKETS LEAKING ON RIGHT ENGINE."
102938,#2 & 3 ROCKER GASKETS LEAKING ON L/H ENGINE.,REMOVED & REPLACED ROCKER COVER GASKETS.,#2 & 3 ROCKER GASKETS LEAKING ON LEFT ENGINE.
102939,#2 & 3 INTAKE GASKETS LEAKING ON L/H ENGINE.,REMOVED & REPLACED #2 & 3 CYL INTAKE GASKETS ON L/H ENG,#2 & 3 INTAKE GASKETS LEAKING ON LEFT ENGINE.
102940,"#4 CYL BAFFLING ON L/H ENGINE, CRACKED ON ANGLE BRACKETS.",STOP DRILLED CRACKS & REPLACED ANGLE BRACKETS W/ LIKE M,"#4 CYLINDER BAFFLING ON LEFT ENGINE, CRACKED ON ANGLE BRACKETS."
102941,#4 CYL ON L/H ENG HAS LOW COMPRESSION. LEAKING FROM EXHAUST,STAKED VALVES ON #4 CYL OF L/H ENG & OBSERVED NO CHANGE,#4 CYLINDER ON LEFT ENGINE HAS LOW COMPRESSION. LEAKING FROM EXHAUST
102941,#4 CYL ON L/H ENG HAS LOW COMPRESSION. LEAKING FROM EXHAUST,REMOVED #4 CYL. REPLACED EXHAUST VALVE & GROUND SEAT. G,#4 CYLINDER ON LEFT ENGINE HAS LOW COMPRESSION. LEAKING FROM EXHAUST
102941,#4 CYL ON L/H ENG HAS LOW COMPRESSION. LEAKING FROM EXHAUST,"REINSTALLED AFT MUFFLER ASSY, CARB HEAT BOX. RAN ENGINE",#4 CYLINDER ON LEFT ENGINE HAS LOW COMPRESSION. LEAKING FROM EXHAUST
102944,#3 INTAKE LEAKING.,REMOVED & REPLACED INTAKE GASKET.,#3 INTAKE LEAKING.
102945,#2 INTAKE IS LEAKING.,REMOVED & REPLACED #2 CYL INTAKE GASKET.,#2 INTAKE IS LEAKING.
102946,CYL #3 HAD LOW COMPRESSION (50/80).,"STAKED VALVE, COMPRESSION CK'ED GOOD (72).",CYLINDER #3 HAD LOW COMPRESSION (50/80).
102947,"BOTTOM RIVET HEAD SHEARED OFF ON ENGINE BAFFLE, R/H SIDE, I/","REMOVED ENGINE BAFFLE, R/H AFT. REMOVED & REPLACED SHEA","BOTTOM RIVET HEAD SHEARED OFF ON ENGINE BAFFLE, RIGHT SIDE, I/"
102948,PUSH ROD TUBE BENT.,INSTALLED SERVICEABLE PUSH RODD TUBE ON ENGINE.,PUSH ROD TUBE BENT.
102948,PUSH ROD TUBE BENT.,REMOVED PUSH ROD TUBE FROM CORE ENGINE. CLEANED & INSPE,PUSH ROD TUBE BENT.
102950,#2 CYL ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED #2 CYL ROCKER COVER GASKET.,#2 CYLINDER ROCKER COVER GASKET LEAKING.
102951,"NOTED EXCESSIVE VIBRATION & ROUGH RUNNING ENGINE, UPON POST","REMOVED & REPLACED #2 CYL ASSY. TORQUED CYL TO CASE, IN","NOTED EXCESSIVE VIBRATION & ROUGH RUNNING ENGINE, UPON POST"
102952,AUTO RE-IGN DOES NOT ACTIVATE W/ LOW N2 CONDITIONS.,COULD NOT DUPLICATE DISCREP. OPS CK GOOD.,AUTO RE-IGNITION DOES NOT ACTIVATE W/ LOW N2 CONDITIONS.
102953,#2 & 3 INTAKES ARE LEAKING ON L/H ENGINE.,"REMOVED & REPLACED CYL #2, 3 INTAKE GASKETS ON L/H ENGI",#2 & 3 INTAKES ARE LEAKING ON LEFT ENGINE.
102954,OIL COOLER LWR BAFFLE SEAL MISSING.,SEALED AREA W/ RTV.,OIL COOLER LOWER BAFFLE SEAL MISSING.
102955,#1 ROCKER COVER GASKET LEAKING.,REPLACED ROCKER COVER GASKET.,#1 ROCKER COVER GASKET LEAKING.
102956,FWD ENGINE BAFFLE WORN THRU.,FABRICATED NEW BAFFLE PIECE OF LIKE MATERIAL & INSTALLE,FORWARD ENGINE BAFFLE WORN THRU.
102957,"ON A/C RUN UP, L/H PROP TIP WAS DAMAGED.",COMPLETED REASSEMBLY OF ENGINE. WASHED ENGINE.,"ON A/C RUN UP, LEFT PROP TIP WAS DAMAGED."
102957,"ON A/C RUN UP, L/H PROP TIP WAS DAMAGED.","REMOVED ACCESSORY CASE, PERFORMED LYCOMING.","ON A/C RUN UP, LEFT PROP TIP WAS DAMAGED."
102957,"ON A/C RUN UP, L/H PROP TIP WAS DAMAGED.",ENGINE RUN & LEAK CK GOOD. ADJUSTED PROP LOW PITCH STOP,"ON A/C RUN UP, LEFT PROP TIP WAS DAMAGED."
102960,CYL #2 INTAKE GASKET LEAKING.,REMOVED & REPLACED INTAKE GASKET.,CYLINDER #2 INTAKE GASKET LEAKING.
102961,CYL #2 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.,CYLINDER #2 ROCKER COVER GASKET LEAKING.
102962,"R/H ENG BAFFLE, BETWEEN #2 & 4 CYL, REQ REWORK.",RESECURED BAFFLE SEAL.,"RIGHT ENGINE BAFFLE, BETWEEN #2 & 4 CYLINDER, REQ REWORK."
102963,L/H #2 & 4 INTAKE GASKETS LEAKING.,REPLACED BOTH GASKETS. LEAK CK GOOD.,LEFT #2 & 4 INTAKE GASKETS LEAKING.
102964,UPPER BAFFLE HOLE PLUGS AER WORN.,REMOVED & REPLACED BOTH BAFFLE PLUGS.,UPPER BAFFLE HOLE PLUGS AER WORN.
102965,#1 ROCKER COVER IS LEAKING.,REMOVED & REPLACED #1 CYL ROCKER COVER GASKET.,#1 ROCKER COVER IS LEAKING.
102966,#1 CYL HAS LOW COMPRESSION.,REMOVED ROCKER COVER & STAKED VALVES NOTING COMPRESSION,#1 CYLINDER HAS LOW COMPRESSION.
102966,#1 CYL HAS LOW COMPRESSION.,PERFORMED ENGINE RUN & PERFORMED COMPRESSION CK ON #1 N,#1 CYLINDER HAS LOW COMPRESSION.
102968,#2 & 3 ROCKER COVER GASKETS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS.,#2 & 3 ROCKER COVER GASKETS LEAKING.
102969,"BAFFLE CRACKED PAST STOP DRILL, #4 CYL.","FABRICATED PATCH, STOP DRILLED CRACK & INSTALLED PATCH.","BAFFLE CRACKED PAST STOP DRILL, #4 CYLINDER."
102970,"BAFFLE PLUG HOLE REQUIRES PATCH, #3 CYL.",FABRICATED & INSTALLED BAFFLE PLUG PATCH. REPLACED BAFF,"BAFFLE PLUG HOLE REQUIRES PATCH, #3 CYLINDER."
102971,#3 ROCKER COVER IS LEAKING OIL.,REMOVED & REPLACED #3 ROCKER COVER GASKET.,#3 ROCKER COVER IS LEAKING OIL.
102972,HARDWARE MISSING ON #3 ROCKER COVER.,INSTALLED NEW HARDWARE.,HARDWARE MISSING ON #3 ROCKER COVER.
102973,#2 INTAKE GASKET LEAKING.,REPLACED GASKET.,#2 INTAKE GASKET LEAKING.
102974,#3 & 4 ROCKER COVERS LEAKING.,REMOVED & REPLACED #3 & 4 ROCKER GASKETS.,#3 & 4 ROCKER COVERS LEAKING.
102975,#1 CYL ENGINE BAFFLE IS CRACKED.,STOP DRILLED CRACK.,#1 CYLINDER ENGINE BAFFLE IS CRACKED.
102976,#3 AFT BAFFLE TAB LOOSE.,STARTED REMOVING R/H AFT ENGINE BAFFLE.,#3 AFT BAFFLE TAB LOOSE.
102977,#4 INTAKE TUBE GASKET IS LEAKING.,INSTALLED NEW #4 INTAKE TUBE GASKET.,#4 INTAKE TUBE GASKET IS LEAKING.
102978,#3 AFT BAFFLE TAB LOOSE.,INSTALLED NEW SCREWS & NUTS ON BAFFLE TAB. REINSTALLED,#3 AFT BAFFLE TAB LOOSE.
102979,#3 & 4 ROCKER BOX COVER GASKETS LEAKING.,INSTALLED NEW ROCKER BOX COVER GASKETS.,#3 & 4 ROCKER BOX COVER GASKETS LEAKING.
102980,UPPER ENG COWL NEEDS CHAFE TAPE.,INSTALLED CHAFE TAPE AS REQUIRED.,UPPER ENGINE COWL NEEDS CHAFE TAPE.
102981,L/H BAFFLE BUTTON PLUG NEEDS TO BE REPLACED.,INSTALLED NEW BAFFLE PLUG.,LEFT BAFFLE BUTTON PLUG NEEDS TO BE REPLACED.
102982,"#2, 4 ROCKER COVER GASKETS LEAKING.",REMOVED & REPLACED ROCKER GASKETS.,"#2, 4 ROCKER COVER GASKETS LEAKING."
102983,FWD LOWER R/H BAFFLE SEAL NEEDS REPLACEMENT.,INSTALLED NEW SECTION OF BAFFLE MATERIAL.,FORWARD LOWER RIGHT BAFFLE SEAL NEEDS REPLACEMENT.
102984,"R/H ENG #2, 3 & 4 CYL ROCKER COVER GASKETS ARE LEAKING.",REMOVED & REPLACED ROCKER COVER GASKETS.,"RIGHT ENGINE #2, 3 & 4 CYLINDER ROCKER COVER GASKETS ARE LEAKING."
102985,#2 INTAKE IS LEAKING.,REMOVED & REPLACED INTAKE GASKET.,#2 INTAKE IS LEAKING.
102986,#2 & 3 ROCKER COVERS ARE LEAKING.,REMOVED & REPLACED #2 & 3 CYL ROCKER COVER GASKETS.,#2 & 3 ROCKER COVERS ARE LEAKING.
102987,#2 & 4 INTERCYLINDER BAFFLE CONNECTING ROD BROKEN.,REMOVED & REPLACED BAFFLE CONNECTING ROD.,#2 & 4 INTERCYLINDER BAFFLE CONNECTING ROD BROKEN.
102988,LOWER CLAMPS LOOSE ON R/H ENGINE #4 INTAKE.,RESECURED CLAMPS.,LOWER CLAMPS LOOSE ON RIGHT ENGINE #4 INTAKE.
102989,#4 INTAKE LEAKING ON L/H ENGINE.,REMOVED & REPLACED INTAKE GASKETS.,#4 INTAKE LEAKING ON LEFT ENGINE.
102990,#2 & 3 ROCKER COVERS LEAKING ON L/H ENGINE.,REMOVED & REPLACED ROCKER COVER GASKETS.,#2 & 3 ROCKER COVERS LEAKING ON LEFT ENGINE.
102991,OIL FILLER TUBE LOOSE.,TIGHTENED OIL FILLER TUBE.,OIL FILLER TUBE LOOSE.
