IDENT,DESAB
102873,"#2 INTAKE GASKET LEAKING, LEFT ENGINE."
102874,#2 INTAKE GASKET LEAKING (RIGHT ENGINE).
102875,RIGHT ENGINE #2 CYLINDER ROCKER COVER GASKET IS LEAKING.
102876,"#2 & 3 ROCKER COVER GASKETS LEAKING, LEFT ENGINE."
102877,"ROCKER COVER GASKETS 1, 2, 3 & 4 CYLS ARE LEAKING."
102878,#2 SIDE BAFFLE SEAL LOOSE ON BAFFLE.
102879,#3 INTAKE GASKET LEAKING.
102880,#4 INTAKE GASKET IS LEAKING.
102881,FORWARD RIGHT SIDE BAFFLE & LEFT AFT BAFFLE ARE CRACKED.
102882,#1 CYLINDER BAFFLING CRACKED BY VALVE COVER.
102883,"#2, 3, 4 ROCKER COVER GASKETS LEAKING."
102884,"BAFFLE SUPPORT SCREW, BY OIL TUBE, LOOSE."
102885,INTAKES 2 & 4 LEAKING ON RIGHT ENGINE.
102886,LEFT CARBURETOR HEAT VALVE MISSING FELT.
102887,"INTAKES 1, 2, 3 & 4 LEAKING ON LEFT ENGINE."
102888,ROCKER COVERS 2 & 3 LEAKING ON LEFT ENGINE.
102889,"ROCKER COVERS 1, 2, 3 & 4 LEAKING ON RIGHT ENGINE."
102890,#4 ROCKER COVER GASKET LEAKING.
102891,CRACK IN BAFFLING OF #1 CYLINDER BY VALVE COVER.
102892,BAFFLE ABOVE #1 CYLINDER REQUIRES PATCH.
102893,#2 & 4 ROCKER COVER GASKETS LEAKING.
102894,#3 INTAKE GASKET ON LEFT ENGINE LEAKING.
102895,"ROCKER COVER GASKET LEAKING, #3 RIGHT ENGINE."
102896,#2 & 3 ROCKER COVER GASKETS LEAKING ON LEFT ENGINE.
102897,RIGHT SIDE LOWER FORWARD OIL COOLER HOSE BRACKET BROKEN.
102898,"LEFT ENGINE BACK BAFFLE, BY #4 CYLINDER, CRACKED."
102899,RIGHT ENGINE #1 & 2 ROCKER COVERS ARE LEAKING.
102900,"#2, 3 & 4 ROCKER COVERS ARE LEAKING ON LEFT ENGINE."
102901,"#2 INTAKE GASKET LEAKING, LEFT ENGINE."
102902,"#2 & 3 INTAKE GASKETS LEAKING, RIGHT ENGINE."
102903,"MISSING SCREW ON #3 ROCKER COVER, RIGHT ENGINE."
102904,"#2, 3, 4 ROCKER COVER GASKETS LEAKING, RIGHT ENGINE."
102905,"#2, 3, 4 ROCKER COVER GASKETS LEAKING, LEFT ENGINE."
102906,LEFT ENGINE IS MISSING BAFFLE BOLT FROM #3 CYLINDER.
102907,"ROCKER DRAIN LINES, ALL OF (B NUTS) ARE LOOSE."
102908,INTAKE 2 & 3 LEAKING.
102909,BAFFLE TIE ROD BROKEN.
102910,ROCKER COVER SCREWS LOOSE ON LEFT ENGINE.
102911,LEFT ENGINE #2 CYLINDER HAS LOW COMPRESSION.
102912,RIGHT ENGNIE CYLINDER #3 & 2 INTAKE GASKETS LEAKING.
102913,RIGHT ENGINE CYLINDER #3 ROCKER COVER GASKET LEAKING.
102914,LEFT ENGINE #2 CYLINDER HAS LOW COMPRESSION.
102915,LH/ ENGINE #2 CYLINDER HAS LOW COMPRESSION 
102916,LEFT ENGINE #2 EXHAUST ROCKER WAS NICKED DURING VALVE STAKING.
102917,LH/ ENGINE #2 CYLINDER HAS LOW COMPRESSION
102919,BOTH OIL COOLERS NEED TO BE CLEANED.
102920,#1 CYLINDER COMPRESSION LOW.
102921,CYLINDER #1 ROCKER COVER GASKET LEAKING.
102922,AFT LEFT BAFFLE IS CRACKED.
102923,#4 CYLINDER AFT BAFFLE IS CRACKED.
102924,SMALL CRACK ON OIL COOLER (O/B FORWARD).
102925,OIL TUBE DRAIN LINES FOR CYLINDERS LOOSE.
102926,#2 ROCKER ARM COVER LEAKING.
102927,"BAFFLE SEAL, FORWARD OF #2 CYLINDER, IS LOOSE."
102928,#3 & 4 INTAKES LEAKING.
102929,"#2 ROCKER COVER LEAKS, RIGHT ENGINE."
102930,#3 CYLINDER ZERO COMPRESSION ON LEFT ENGINE.
102934,#1 ROCKER COVER LEAKING ON RIGHT ENGINE.
102935,#2 INTAKE GASKET LEAKING ON RIGHT ENGINE.
102936,"#3 CYLINDER BAFFLING ON LEFT ENGINE, CRACKED ON AFT SIDE."
102937,"#2, 3 & 4 ROCKER COVER GASKETS LEAKING ON RIGHT ENGINE."
102938,#2 & 3 ROCKER GASKETS LEAKING ON LEFT ENGINE.
102939,#2 & 3 INTAKE GASKETS LEAKING ON LEFT ENGINE.
102940,"#4 CYLINDER BAFFLING ON LEFT ENGINE, CRACKED ON ANGLE BRACKETS."
102941,#4 CYLINDER ON LEFT ENGINE HAS LOW COMPRESSION. LEAKING FROM EXHAUST
102944,#3 INTAKE LEAKING.
102945,#2 INTAKE IS LEAKING.
102946,CYLINDER #3 HAD LOW COMPRESSION (50/80).
102947,"BOTTOM RIVET HEAD SHEARED OFF ON ENGINE BAFFLE, RIGHT SIDE, I/"
102948,PUSH ROD TUBE BENT.
102950,#2 CYLINDER ROCKER COVER GASKET LEAKING.
102951,"NOTED EXCESSIVE VIBRATION & ROUGH RUNNING ENGINE, UPON POST"
102952,AUTO RE-IGNITION DOES NOT ACTIVATE W/ LOW N2 CONDITIONS.
102953,#2 & 3 INTAKES ARE LEAKING ON LEFT ENGINE.
102954,OIL COOLER LOWER BAFFLE SEAL MISSING.
102955,#1 ROCKER COVER GASKET LEAKING.
102956,FORWARD ENGINE BAFFLE WORN THRU.
102957,"ON A/C RUN UP, LEFT PROP TIP WAS DAMAGED."
102960,CYLINDER #2 INTAKE GASKET LEAKING.
102961,CYLINDER #2 ROCKER COVER GASKET LEAKING.
102962,"RIGHT ENGINE BAFFLE, BETWEEN #2 & 4 CYLINDER, REQ REWORK."
102963,LEFT #2 & 4 INTAKE GASKETS LEAKING.
102964,UPPER BAFFLE HOLE PLUGS AER WORN.
102965,#1 ROCKER COVER IS LEAKING.
102966,#1 CYLINDER HAS LOW COMPRESSION.
102968,#2 & 3 ROCKER COVER GASKETS LEAKING.
102969,"BAFFLE CRACKED PAST STOP DRILL, #4 CYLINDER."
102970,"BAFFLE PLUG HOLE REQUIRES PATCH, #3 CYLINDER."
102971,#3 ROCKER COVER IS LEAKING OIL.
102972,HARDWARE MISSING ON #3 ROCKER COVER.
102973,#2 INTAKE GASKET LEAKING.
102974,#3 & 4 ROCKER COVERS LEAKING.
102975,#1 CYLINDER ENGINE BAFFLE IS CRACKED.
102976,#3 AFT BAFFLE TAB LOOSE.
102977,#4 INTAKE TUBE GASKET IS LEAKING.
102978,#3 AFT BAFFLE TAB LOOSE.
102979,#3 & 4 ROCKER BOX COVER GASKETS LEAKING.
102980,UPPER ENGINE COWL NEEDS CHAFE TAPE.
102981,LEFT BAFFLE BUTTON PLUG NEEDS TO BE REPLACED.
102982,"#2, 4 ROCKER COVER GASKETS LEAKING."
102983,FORWARD LOWER RIGHT BAFFLE SEAL NEEDS REPLACEMENT.
102984,"RIGHT ENGINE #2, 3 & 4 CYLINDER ROCKER COVER GASKETS ARE LEAKING."
102985,#2 INTAKE IS LEAKING.
102986,#2 & 3 ROCKER COVERS ARE LEAKING.
102987,#2 & 4 INTERCYLINDER BAFFLE CONNECTING ROD BROKEN.
102988,LOWER CLAMPS LOOSE ON RIGHT ENGINE #4 INTAKE.
102989,#4 INTAKE LEAKING ON LEFT ENGINE.
102990,#2 & 3 ROCKER COVERS LEAKING ON LEFT ENGINE.
102991,OIL FILLER TUBE LOOSE.
102992,FORWARD LEFT BAFFLE NEEDS TO BE SECURED.
102993,#4 INTAKE LEAKING.
102994,FORWARD ADEL CLAMP ON #3 CYLINDER LOOSE & RUBBING ON PUSH ROD TUBE.
102995,#2 INTAKE IS LEAKING.
102996,#4 ROCKER COVER GASKET LEAKING.
102997,LEFT ENGINE #2 CYLINDER INTAKE GASKET IS LEAKING.
102998,RIGHT ENGINE #3 CYLINDER ROCKER COVER IS MISSING A SCREW.
102999,#2 CYLINDER INTAKE LEAKING.
103000,#2 CYLINDER ROCKER COVER GASKET LEAKING.
103001,UPPER COWLING NEEDS SMALL PIECE OF CHAFE TAPE.
103002,"LEFT UPPER ENGINE BAFFLING ON ENGINE, WORN SEAL SUPPORT."
103003,"BETWEEN #2 & 4 CYLDERS, SPIRAL WRAP MELTED."
103004,#2 CYLINDER ROCKER COVER LEAKING.
103005,#3 CYLINDER ROCKER COVER BOTTOM SCREW NEEDS SWAPPED W/ AFT BAFFLE
103006,#2 & 3 ROCKER COVER GASKETS LEAKING.
103007,#3 CYLINDER BAFFLING MISSING SPARK PLUG ACCESS PLUG.
103008,CRACK NOTED ON TOP OF #2 CYLINDER BAFFLING.
103009,RIGHT ENGINE FORWARD BAFFLE LOOSE.
103010,#3 AFT BAFFLE CRACKED.
103011,#2 INTAKE GASKET LEAKING.
103012,#3 & 4 ROCKER COVER GASKETS LEAKING.
103013,#2 ROCKER COVER GASKET LEAKING.
103015,OIL COOLER REQUIRES TIME CHANGE.
103017,ENGINE REQUIRES TIME CHANGE.
103022,#2 INTAKE IS LEAKING.
103023,"ON RUN UP, IDLE RPM WAS AT 720."
103025,CYLINDER #3 ROCKER COVER GASKET LEAKING.
103026,#3 INTAKE GASKET LEAKING.
103027,#2 INTAKE GASKET LEAKING.
103028,#2 CYLINDER ROCKER COVER GASKET LEAKING.
103029,#4 INTAKE LEAKING.
103030,ENGINE RPM WOULD FLUCTUATE 200 - 250 RPM @ HOVER. RAN ROUGH
103031,BOTH BAFFLE PLUGS WORN.
103032,#4 INTAKE GASKET IS LEAKING.
103033,RIGHT BAFFLE PLUG MISSING FINGERS.
103034,#4 ROCKER COVER GASKET LEAKING.
103035,#4 INTAKE LEAKING.
103036,#3 & 4 INTAKE GASKETS LEAKING.
103037,#2 ROCKER COVER GASKET LEAKING.
103038,"CRACK NOTED ON INSIDE OF #2 CYLINDER BAFFLING, NEAR RIVET."
103039,CYLINDER #2 COMPRESSION LOW. AIR NOTED & OBSERVED OUT OF EXHAUST.
103042,#2 & 3 ROCKER COVERS LEAKING.
103043,#2 ROCKER COVER IS LEAKING.
103044,"ENGINE OVERSPEED, 2750 - 2760 RPM FOR 3-4 SECONDS."
103045,#3 & 4 ROCKER COVER GASKETS ARE LEAKING.
103046,#4 INTAKE GASKET LEAKING.
103047,SNIFFLER VALVE DIRTY.
103048,"#2, 4 ROCKER COVER GASKETS LEAKING."
103049,"#2, 3, 4 ROCKER GASKETS LEAKING."
103050,#2 INTAKE LEAKING.
103051,CYLINDER #4 ROCKER COVER GASKET LEAKING.
103052,"#4 INTAKE IS LEAKING, CYLINDER #3 INTAKE LEAKING, CYLINDER #2 INTAKE L"
103053,CRACK NOTED ON LOWER REAR POSITION OF #4 CYLINDER BAFFLE.
103054,"CRACK NOTED ON INSIDE OF #1 CYLINDER UPPER BAFFLE, NEAR RIVET."
103055,ALL ROCKER COVER SCREWS ARE LOOSE.
103056,ALL CYLINDER DRAIN LINE B' NUTS ARE LOOSE.
103057,"SPRING WIRE FOR I/B LEFT SIDE ENGINE, BROKEN."
103058,BOTH BAFFLE PLUGS WORN.
103059,#2 & 4 ROCKER COVERS LEAKING.
103060,BAFFLE PLUGS WORN.
103061,#2 INTAKE IS LEAKING.
103062,#3 INTAKE LEAKING.
103063,#4 INDUCTION TUBE GASKET LEAKING.
103064,ENGINE RIGHT REAR BAFFLE SUPPORT BRACKET LOOSE.
103065,BOTTOM RIGHT BAFFLE TIE DOWN UNSECURED FROM BAFFLE.
103066,RIGHT FUEL TOP ENGINE BAFFLE SEAL NEEDS TO BE SECURED.
103067,#2 & 3 INTAKE GASKET LEAKING.
103068,#2 & 3 ROCKER COVER GASKETS LEAKING.
103069,#1 CYLINDER BAFFLE CRACK NOTED BY CYLINDER HEAD SCREW PLATE.
103070,#4 INTAKE LEAKING.
103071,LOWER BAFFLING SEAL IS CHAFING AIR FILTER BOX CAM LOCK NUTPL
103072,SMALL FOREIGN OBJECT DAMAGE ON TOP OF #3 CYLINDER
103073,#2 & 4 INTAKE GASKETS LEAKING.
103074,"RIGHT ENGINE FOAM SEAL LOOSE ON BULKHEAD, BEHIND ENGINE INLET"
103075,LEFT REAR ENGINE BAFFLE ACCESS HOLE WORN.
103076,#4 INTAKE GASKET LEAKING.
103077,#3 ROCKER COVER GASKET LEAKING.
103078,"OIL PRESENT ON ENGINE, RIGHT SIDE. OIL SPRAYED BELOW & AFT."
103079,"ON TAXI, ENGINE RAN ROUGH FROM 800 TO 1400 RPM. LEANING MIXTURE"
103080,#4 CYLINDER INTAKE LEAKS.
103081,FRONT BAFFLE SEAL WORN BY ENGINE INLET & EDGES.
103082,"#1, 2, 3 & 4 OIL RETURN LINES LEAKING."
103083,#3 INTAKE LEAKING.
103084,#2 ROCKER COVER LEAKING.
103085,#1 ROCKER GASKET LEAKING.
103086,#1 INTAKE GASKET IS LEAKING.
103087,#2 & 4 INTAKES LEAKING.
103088,"#2, 3 & 4 INTAKE GASKETS LEAKING."
103089,#2 & 4 ROCKER COVERS MISSING HARDWARE.
103090,"CRACK NOTED ON INSIDE OF #1 CYLINDER BAFFLE, BY SCREW PLATE."
103091,#1 & 2 ROCKER COVER GASKETS LEAKING.
103092,CRACK NOTED ON ENGINE BAFFLE NEAR AFT ALTERNATOR ATTACH BOLT
103093,LEFT SIDE COWL SEAL COMING LOOSE.
103094,#3 & 4 INTAKE GASKETS LEAKING.
103095,ALL ROCKER GASKETS ARE LEAKING.
103096,#4 INTAKE GASKET LEAKING
103097,#3 CYLINDER INTAKE GASKET IS LEAKING.
103098,#2 & 4 CYLINDER INTAKE GASKETS LEAKING.
103099,VACUUM PUMP COOLING DUCT CHAFING OIL COOLER LINE.
103100,#3 AFT BAFFLE CRACKED ON RIGHT ENGINE.
103101,RIGHT ENGINE #2 & 3 INTAKES LEAKING.
103102,"LEFT ENGINE #2, 3, 4 INTAKES LEAKING."
103103,"RIGHT ENGINE #4, 2, 3 ROCKER COVERS LEAKING."
103104,"INTAKE GASKET, CYLINDER #2, LEAKING."
103105,"DURING TAKE OFF ROLL, ADVANCED THROTTLE TO FULL POWER; RPM W"
103106,FORWARD BAFFLE SEALS HAVE WORN SPOTS.
103107,RIGHT ENGINE #4 INTAKE GASKET LEAKING.
103108,#2 & 4 INTAKES LEAKING ON LEFT ENGINE.
103109,RIGHT #4 ROCKER GASKET IS LEAKING.
103110,#4 ROCKER COVER IS LEAKING ON LEFT ENGINE.
103111,#2 & 3 INDUCTION PIPES ARE LEAKING ON LEFT ENGINE.
103112,"ENGINE RUNNING ROUGH, #2 CYLINDER EXHAUST GAS TEMPERATURE  LOW."
103113,ENGINE PROBLEM
103114,ENGINE STARTED RUNNING ROUGH & BACK FIRING. BOTH POWER REDUC
103117,ROUGH ENGINE W/ OIL LEAK
103122,CYLINDER #3 & 4 INTAKE GASKETS LEAKING.
103123,"NEAR IDLE, ENGINE WAS A LITTLE ROUGH. AT STOP FOR RUN UP, RIGHT PATTERN"
103124,FORWARD ENGINE BAFFLE SEAL ABOVE VACUUM PUMP TORN.
103125,FORWARD ENGINE PLUGS SAFETY WIRE LOOSE & CHAFING THROUGH.
103126,FORWARD ENGINE BAFFLE SEAL ABOVE VACUUM PUMP TORN.
103127,SCREW MISSING AT #3 CYLINDER BAFFLE.
103128,"#2 & 3 ROCKER COVER GASKETS LEAKING, LEFT ENGINE."
103129,"BAFFLE SEAL ABOVE AIR FILTER BOX, CHAFED."
103130,#2 INTAKE TUBE GASKET LEAKING.
103131,#2 INTAKE GASKET LEAKING.
103132,#2 & 3 CYLINDER ROCKER COVERS LEAKING.
103133,#2 CYLINDER HEAD TEMPERATURE FITTING NEEDS TO BE REPLACED.
103134,#4 INTAKE LEAKING.
103135,"FORWARD BAFFLE SEALS ON ENGINE, WEAR MARKS AGAINST AIR FILTER."
103136,#2 CYLINDER INTAKE GASKET LEAKING.
103137,"#3, 4 & 1 INTAKES LEAKING."
103138,#3 ROCKER DRAIN LINE CHAFING.
103139,"ACCIDENTALLY OVERSPED ENGINE BEFORE PULLING THROTTLE BACK, E"
103140,#4 INTAKE IS LEAKING.
103141,ENGINE BAFFLE PLUGS ARE WORN.
103142,"#1, 2 & 3 ROCKER COVERS ARE LEAKING."
103143,#3 INTAKE GASKET LEAKING.
103144,"LOWER INTERCYLINDER BAFFLE SPRING ON RIGHT SIDE OF ENGINE, BRO"
103145,INTAKES #1 & 2 LEAKING.
103146,CYLINDER #1 & 4 INTAKE GASKETS LEAKING.
103147,CYLINDER #2 INTAKE GASKET LEAKING.
103148,CYLINDER #1 ROCKER COVER GASKET LEAKING.
103149,#1 ROCKER DRAIN LINE LOOSE.
103150,#2 ROCKER COVER LEAKING.
103151,RIGHT AFT ENGINE BAFFLE MOUNTING BRACKET LOOSE.
103152,BOLT MISSING ON #3 CYLINDER SIDE BAFFLE.
103153,#3 CYLINDER ROCKER COVER GASKET LEAKING.
103154,#2 INTAKE TUBE GASKET LEAKING.
103155,#3 & 4 INTAKE GASKETS ARE LEAKING.
103156,#2 CYLINDER ROCKER DRAIN LINE LEAKING AT SUMP.
103157,EXHAUST GAS TEMPERATURE /CYLINDER HEAD TEMPERATURE WIRE BUNDLE MOUNTING SCREW & IGNITION LEAD/OIL COOLER MOU
103158,"BAFFLE SCREW HAS OVERSIZED WASHER, WHICH IS CHAFING #3 CYLINDER R"
103159,"OIL LEAK AT CRANKCASE BOLTS, USED TO MOUNT FUEL FLOW TRANSDU"
103160,#2 INTAKE GASKET LEAKING.
103161,#2 ROCKER COVER GASKET LEAKING.
103162,#2 & 4 INTAKES LEAKING.
103163,"#3, 4 ROCKER COVERS LEAK."
103164,#1 ROCKER BOX COVER GASKET LEAKING.
103165,PROPELLER FLANGE RUN OUT CHECK REQUESTED.
103166,LEFT #1 INTAKE LEAKING.
103167,"SHEARED OFF RIVETS ON BAFFLE BRACKET, BEHIND #3 CYLINDER."
103169,LOWER FORWARD ENGINE SEAL WORN IN AREA ABOVE ENGINE INLET.
103170,#3 & 4 CYLINDER WERE REMOVED BY OFF SITE MAINTENANCE.
103173,#2 & 4 INTAKES LEAKING.
103174,CYLINDER #4 INTAKE GASKET LEAKING.
103175,FRONT CRANKSHAFT OIL SEAL LEAKING.
103177,#2 & 3 CYLINDER INTAKE GASKETS LEAKING.
103178,#2 INTAKE GASKET LEAKING.
103180,#3 ROCKER COVER GASKET LEAKING.
103181,"ZERO COMPRESSION ON #1 CYLINDER. LEAKING FROM EXHAUST VALVE,"
103182,#2 INTAKE LEAKS.
103183,NEED 2 NEW BAFFLE BUTTONS.
103184,LOWER FORWARD ENGINE COWL SEAL WEARING ON ENGINE INTAKE.
103185,#2 INTAKE GASKET LEAKING.
103186,#1 INTAKE GASKET LEAKING.
103187,#1 CYLINDER OUTER BAFFLING CRACKED BY NUTPLATE.
103188,#2 & 3 INTAKE GASKETS LEAKING.
103189,"BOTTOM BAFFLE ON #1 CYLINDER, CHAFING ON CYLINDER FINS."
103190,#4 CYLINDER BOTTOM BAFFLE CRACKED/CHAFING ON CYLINDER FINS.
103191,ALL ROCKER COVER SCRWES ARE LOOSE.
103192,#3 & 4 CYLINDER INTAKE GASKETS ARE LEAKING.
103193,"WHILE FOGGING #2 CYLINDER, TIP FROM SPRAYER NOZZLE CAME INTO CONT"
103198,1 BAFFLE BUTTON WORN.
103199,ENGINE FORWARD LOWER SEAL WEARING INTO UPPER INTAKE AIR FILTER FRAME.
103200,LEFT ENGINE BREATHER LINE KINKED.
103201,RIGHT ENGINE HAS OIL LEAK AT HOISTING LOOP.
103202,"RIGHT #2, 3 & 4 INTAKE GASKETS ARE LEAKING."
103203,RIGHT ENGINE #1 SIDE BAFFLE SEAL LOOSE.
103204,#2 & 4 INTAKE GASKETS LEAKING ON LEFT ENGINE.
103205,"#1, 3 & 4 ROCKER COVER GASKET LEAKING ON LEFT ENGINE."
103206,"RIGHT #2, 3 & 4 INTAKE GASKETS ARE LEAKING."
103207,#2 & 4 INTAKE GASKETS LEAKING ON LEFT ENGINE.
103208,RIGHT ENGINE HAS OIL LEAK AT HOISTING LOOP.
103209,"#1, 3 & 4 ROCKER COVER GASKET LEAKING ON LEFT ENGINE."
103210,LOWER COWL SEAL LOOSE.
103211,"COWL BRACKET CRACKED, LEFT ENGINE."
103213,DING IN COMPRESSOR FIRST STAGE BLADE.
103214,#4 INTAKE GASKET IS LEAKING.
103215,#3 ROCKER COVER GASKET LEAKING.
103216,#4 ROCKER COVER GASKET LEAKING.
103217,#2 & 3 ROCKER COVER GASKETS LEAKING.
103218,#2 & 3 INTAKE GASKETS LEAKING.
103219,#3 INTAKE GASKET LEAKING.
103220,#3 INTAKE LEAKING.
103221,LEFT & RIGHT BAFFLE PLUGS ARE MISSING TABS.
103222,LEFT ENGINE #4 ROCKER COVER LEAKING.
103223,LEFT ENGINE #2 & 4 INTAKES LEAKING.
103224,"RIGHT ENGINE INTAKES 2, 3 & 4 LEAKING."
103225,#4 INTAKE IS LEAKING.
103226,RIGHT BAFFLE TIE ROD IS BROKEN.
103227,#4 ROCKER COVER GASKET LEAKING.
103228,#1 & 4 INTAKE GASKETS LEAKING.
103229,#1 OUTER CYLINDER BAFFLING CRACKED BY NUTPLATE.
103230,#4 INDUCTION TUBE GASKET IS LEAKING.
103231,#3 & 4 INTAKES LEAKING.
103232,ALUM FITTINGS FOR OIL COOLER OK?
103233,OIL COOLER LOWER O/B BOLT NO THREADS SHOWING.
103234,BOTH BAFFLE BUTTONS WORN.
103235,OIL COOLER LOWER LINE REQ REROUTING.
103236,FRONT FORWARD BAFFLE HUNG UP ON BOLT OF ALTERNATOR EXTRA BRACKET
103237,"BAFFLE BOLT OR SCREW MISSING, FORWARD LEFT SIDE IN FRONT OF #2 CY"
103238,BAFFLE TIE WIRE INSTALLED WRONG ON RIGHT OF ENGINE.
103239,"NUT MISSING ON TOP BACK BONE OF ENGINE, AFT SLING POINT."
103240,FOREIGN OBJECT DAMAGE ON TOP LEFT SIDE OF ENGINE
103241,EXTRA SPARK PLUG ON TOP OF #2 CYLINDER
103242,"ENGINE BAFFLE CRACKED, ABOVE #1 CYLINDER."
103243,CYLINDER #4 INTAKE GASKET LEAKING.
103244,"BAFFLE PLUG DAMAGED, REQUIRES REPLACEMENT."
103245,#4 CYLINDER ROCKER COVER LEAKING.
103246,PROP/ENGINE OVERSPEED.
103247,"#1, 2 & 3 INTAKE GASKETS LEAKING."
103248,#3 & 4 ROCKER COVER GASKETS LEAKING.
103249,#2 INTAKE LEAKING.
103250,#2 CYLINDER INTAKE IS LEAKING.
103251,2 & 4 CYLINDER INNER BAFFLE CONNECTOR ROD IS BROKEN.
103252,#4 CYLINDER INTAKE GASKET IS LEAKING.
103253,#1 CYLINDER INTAKE IS LEAKING.
103254,"CRACK ON FORWARD BAFFLE, AFT OF ALTERNATOR MOUNT BOLT."
103255,#1 & 2 ROCKER COVER GASKETS LEAKING.
103256,#2 & 4 INTAKE GASKETS LEAKING.
103257,COWL SEAL ON FRONT RIGHT BAFFLE LOOSE.
103258,#1 CYLINDER BAFFLING CRACK EXTENDING BEYOND STOP DRILL.
103259,CRACK NOTED ON UPPER PORTION OF FORWARD RIGHT BAFFLE IN FRONT OF #
103260,#3 ROCKER COVER IS LEAKING.
103261,"#1, 3, 4 & 2 ROCKER COVERS LEAKING (ALL 4)."
103262,TABS ARE WORN OFF OF BAFFLE PLUGS.
103263,#1 INTAKE IS LEAKING.
103264,"#1, 2, 3 & 4 INTAKE GASKETS LEAKING."
103265,#1 & 4 ROCKER COVER GASKETS LEAKING.
103266,"#2, 3, 4 INTAKES LEAKING ON LEFT ENGINE."
103267,RIGHT FORWARD BAFFLE SEAL LOOSE.
103268,RIGHT REAR ENGINE BAFFLE ATTACH BRACKET LOOSE.
103269,#2 INTAKE GASKET LEAKING.
103270,#3 & 4 SIDE BAFFLE SEALS ARE WORN.
103271,BAFFLE CRACKED @ #1 CYLINDER.
103272,CRACK ON CYLINDER #1 BAFFLING.
103273,BAFFLING ABOVE CYLINDER #4 HAS A CRACK IN IT.
103274,INTAKES #2 & 4 LEAKING.
103275,BOTH BAFFLE BUTTONS WORN.
103276,FORWARD BAFFLE SEAL HAS WORN SPOTS BY ENGINE INDUCTION.
103277,MOMENTARY ENGINE ROUGHNESS.
103278,"SCREW MISSING #3 CYLINDER ROCKER COVER, LEFT ENGINE."
103279,"#2, 3 ROCKER COVERS LEAKING ON RIGHT ENGINE."
103280,"#2, 3, 4 INTAKES LEAKING ON RIGHT ENGINE."
103281,#2 & 4 INTAKE GASKETS LEAKING ON LEFT ENGINE.
103282,#3 & 4 ROCKER COVERS LEAKING ON LEFT ENGINE.
103283,RIGHT BAFFLE TIE ROD IS RUBBING ON OIL RETURN LINE CLAMP.
103284,"#2, 3 & 4 INTAKE GASKETS LEAKING ON LEFT ENGINE."
103285,RIGHT ENGINE BACK BONE SEEPING OIL.
103286,RIGHT ENGINE #2 & 4 ROCKER BOX COVERS LEAKING.
103287,BAFFLE CONNECTION ROD LOOSE ON #1 & 3 CYLINDER OF LEFT ENGINE.
103288,#3 & 4 INTAKE IS LEAKING.
103289,BAFFLE PLUGS ABOVE #3 & 4 CYLINDER WORN.
103290,LEFT SIDE BAFFLE REQUIRES BAFFLE PLUG PATCH.
103291,"SCREW MISSING ON ENGINE BAFFLE #3 CYLINDER, BY OIL FILL TUBE."
103292,BAFFLE PATCH CRACKED ABOVE #4 CYLINDER.
103293,LEFT ENGINE #4 CYLINDER DEAD.
103294,LEFT FORWARD BAFFLE MATERIAL TORN.
103295,#3 & 4 INTAKES LEAKING ON LEFT ENGINE.
103296,LEFT ENGINE BACK BAFFLE BY #4 CYLINDER HAS A CRACK.
103297,"INTAKES 2, 3 & 4 LEAKING ON RIGHT ENGINE."
103298,LEFT ENGINE #4 CYLINDER DEAD.
103301,#1 & 4 ROCKER GASKETS LEAKING ON LEFT ENGINE.
103302,LEFT ENGINE BACK BONE LEAKING OIL IN MIDDLE.
103303,INTAKE GASKETS LEAKING ON LEFT ENGINE.
103304,LEFT ENGINE QUICK DRAIN NEEDS INSTALLATION.
103305,RIGHT ENGINE QUICK DRAIN NEEDS INSTALLATION.
103306,"#1, 2 & 4 CYLINDER INTAKES LEAKING."
103307,CYLINDER #1 INTAKE GASKET IS LEAKING.
103308,TYWRAP BROKEN ON STAND OFF ON #2 CYLINDER.
103309,BATTERY BOX BRACKET CRACKED.
103310,SIMULATED OIL LEAK ON ENGINE
103311,BAFFLE PLUG ABOVE #4 CYLINDER HAS BROKEN TABS.
103312,#2 ROCKER COVER LEAKING.
103313,#2 OIL RETURN LINE CHAFING ON BAFFLING.
103314,#2 & 4 INTERCYLINDER BAFFLE CRACKED.
103315,INTAKES 2 & 3 LEAKING ON LEFT ENGINE.
103316,INTAKES 2 & 4 LEAKING ON RIGHT ENGINE.
103317,#3 CYLINDER LEFT ENGINE THRUST BUTTONS WORN.
103318,ALL 4 ROCKER COVERS LEAKING ON RIGHT ENGINE.
103319,"ROCKER COVERS 1, 2, 3 & 4 LEAKING ON LEFT ENGINE."
103320,#2 BAFFLE SEAL DISCONNECTED.
103321,WIRING BETWEEN #2 - 4 UNSUPPORTED.
103322,#1 CYLINDER HEAD TEMPERATURE RED X AT FULL POWER.
103323,#1 EXHAUST GAS TEMPERATURE  RED X.
103324,#1 ROCKER COVER LEAKING.
103325,#1 CYLINDER HEAD TEMPERATURE RED X AT FULL POWER.
103326,"#1, 2, 4 INTAKE GASKETS LEAKING."
103327,ENGINE FAILED ONCE ON RUN UP. ENGINE RAN ROUGH & ALMOST QUIT
103328,INTAKES 2 & 4 LEAKING ON RIGHT ENGINE.
103329,INTAKES 1 & 3 LEAKING ON LEFT ENGINE.
103330,#3 & 4 CYLINDER INTAKE GASKETS ARE LEAKING.
